# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data
# are obtained for potential use in a publication or presentation,
# GML should be informed at the outset of the nature of this work.
# If the GML data are essential to the work, or if an important
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Wed Apr  5 03:55:14 2023
#
# RECIPROCITY
#
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information
# necessary for other scientists to repeat the work and to run
# modified versions. Model availability includes collaborative
# support for new users of the models.
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
# The uncertainty in the global monthly mean is estimated using a
# a monte carlo technique that computes 200 globally-averaged time
# series, each time using a slightly different set of measurement
# records from the NOAA GML cooperative air sampling network.  The
# reported uncertainty is the mean of the standard deviations
# for each monthly mean using this technique.  Please see Conway et al.,
# 1994, JGR, vol. 99, no. D11. for a complete discussion.  Units are ppm.
#
# CO2 expressed as a mole fraction in dry air, micromol/mol, abbreviated as ppm
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also be changed for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
1979,1,1979.042,336.56,0.10,335.92,0.09
1979,2,1979.125,337.29,0.09,336.25,0.09
1979,3,1979.208,337.88,0.10,336.51,0.09
1979,4,1979.292,338.32,0.11,336.72,0.09
1979,5,1979.375,338.26,0.04,336.71,0.10
1979,6,1979.458,337.38,0.17,336.61,0.10
1979,7,1979.542,335.56,0.27,336.40,0.10
1979,8,1979.625,334.37,0.29,336.65,0.10
1979,9,1979.708,335.02,0.20,337.40,0.10
1979,10,1979.792,336.36,0.22,337.71,0.10
1979,11,1979.875,337.36,0.17,337.68,0.10
1979,12,1979.958,337.85,0.12,337.62,0.09
1980,1,1980.042,338.55,0.12,337.91,0.09
1980,2,1980.125,339.26,0.08,338.23,0.08
1980,3,1980.208,339.60,0.07,338.23,0.08
1980,4,1980.292,339.99,0.07,338.40,0.07
1980,5,1980.375,340.44,0.09,338.88,0.07
1980,6,1980.458,339.99,0.09,339.22,0.06
1980,7,1980.542,338.44,0.17,339.28,0.06
1980,8,1980.625,337.21,0.19,339.50,0.06
1980,9,1980.708,337.05,0.11,339.44,0.06
1980,10,1980.792,337.83,0.07,339.17,0.06
1980,11,1980.875,338.93,0.06,339.26,0.07
1980,12,1980.958,339.64,0.08,339.41,0.07
1981,1,1981.042,340.18,0.10,339.55,0.07
1981,2,1981.125,340.75,0.11,339.71,0.08
1981,3,1981.208,341.38,0.11,340.02,0.08
1981,4,1981.292,341.68,0.08,340.08,0.08
1981,5,1981.375,341.43,0.07,339.88,0.08
1981,6,1981.458,340.63,0.10,339.86,0.08
1981,7,1981.542,339.23,0.14,340.06,0.08
1981,8,1981.625,338.08,0.16,340.37,0.08
1981,9,1981.708,337.97,0.11,340.36,0.08
1981,10,1981.792,339.07,0.09,340.42,0.08
1981,11,1981.875,340.18,0.11,340.50,0.07
1981,12,1981.958,340.75,0.09,340.52,0.07
1982,1,1982.042,341.37,0.08,340.74,0.06
1982,2,1982.125,341.95,0.08,340.91,0.05
1982,3,1982.208,342.23,0.07,340.84,0.04
1982,4,1982.292,342.52,0.07,340.91,0.04
